country,crypto_owners,pop_crypto,continent,iso3,perc_pop
United Kingdom,3360591,0.0495,Europe,GBR,4.95
South Korea,1942933,0.0379,Asia,KOR,3.79
Hong Kong,245012,0.0327,Asia,HKG,3.27
Czech Republic,238285,0.0223,Europe,CZE,2.23
Iran,1649897,0.0196,Asia,IRN,1.96
Bolivia,215461,0.0185,South America,BOL,1.85
Tanzania,1095494,0.0183,Africa,TZA,1.83
Republic of Serbia,151954,0.0174,Europe,SRB,1.74
Moldova,54377,0.0135,Europe,MDA,1.35
Ivory Coast,343067,0.013,Africa,CIV,1.3
Macedonia,23639,0.0113,Europe,MKD,1.13
Syria,177824,0.0102,Asia,SYR,1.02
The Bahamas,3576,0.0091,North America,BHS,0.91
Brunei,3979,0.0091,Asia,BRN,0.91
Macao,5828,0.009,Asia,MAC,0.9
